Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
19-19-19,19.00%,19.00%,19.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$6.31 ,,,,,,,,,
Lesco Starter 18-24-12,10.00%,18.00%,10.00%,0.00%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$12.00 ,,,,,,,,,
Calcitic Lime,0.00%,0.50%,0.00%,35.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,,,,,,,,,,
Lesco 20-20-20 Soluble,20.00%,20.00%,20.00%,21.00%,11.00%,0.00%,0.10%,0.05%,0.00%,0.02%,0.00%,50,$59.99 ,$6.00 ,,,,,,,,,
Gypsum,0.00%,0.00%,0.00%,20.00%,0.00%,16.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,,,,,,,,,,
Tiger Sul,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$50.00 ,,,,,,,,,,
XGRN 8-1-8,10.00%,0.00%,20.00%,1.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$12.00 ,,,,,,,,,
Lesco 14-2-14,14.00%,2.00%,14.00%,0.00%,0.00%,10.00%,2.40%,0.00%,2.00%,0.00%,0.00%,50,$59.99 ,$8.57 ,,,,,,,,,
Lesco 14-14-14,14.00%,14.00%,14.00%,0.00%,0.00%,4.69%,0.45%,0.00%,0.45%,0.00%,0.00%,50,$59.99 ,$8.57 ,,,,,,,,,
Test,10.00%,2.00%,5.00%,0.00%,0.00%,17.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$59.99 ,$15.00 ,,,,,,,,,
EC Grow - 18-0-18 33%Nutralene 33%Amsul SOP Micro - SGN90 - 50 LB BAG,18.00%,0.00%,18.00%,0.00%,0.00%,12.80%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$54.56 ,$6.06 ,90,https://www.reinders.com/products/545-9110/,https://assetcloud01.roccommerce.net/files/_reinders/10/7/4/545-9110-label.pdf,"Urea, Ammonium Sulfate, Methylene Urea, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Maganese Sulfate, Zinc Oxide and Zinc sulfate. Sulfur from SOP AMS",7.1,5.9,5.9,3.1*,*Methylene Ureas
EC Grow - 17-0-17 65%Nutralene - SOP Micros - SGN90 - 50 LB BAG,17.00%,0.00%,17.00%,0.00%,0.00%,5.70%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$56.54 ,$6.65 ,90,https://www.reinders.com/products/370-9020/,https://assetcloud01.roccommerce.net/files/_reinders/2/10/5/370-9020-label.pdf,"Urea, Methylene Urea, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide and Zinc Sulfate. Sulfur from SOP",7.8,0,0,5.8*,*Methylene Ureas
EC Grow - 18-3-18 50%MU MAP SOP Micros - SGN90 - 50 LB BAG,18.00%,3.00%,18.00%,0.00%,0.00%,6.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$56.54 ,$6.28 ,90,https://www.reinders.com/products/545-9030/,https://assetcloud01.roccommerce.net/files/_reinders/3/9/7/545-9030-label.pdf,"Urea, Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide, and Zinc Sulfate. Sulfur from sulfate of potash.",9.8,0.7,0.7,4.7,*7.5% Methylene Ureas
EC Grow - 23-0-8 70%RXN 30%AMS SOP - SGN 150 - 50 LB BAG,23.00%,0.00%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$35.97 ,$3.13 ,150,https://www.reinders.com/products/rp23-0-8/,https://assetcloud01.roccommerce.net/files/_reinders/1/6/9/rp23-0-8-label.pdf,"Urea, Ammonium Sulfate and Sulfate of Potash",16,7,7,,
Reinders - 22-0-14 100%STN - SOP DDP FE Mini - 50 LB BAG,22.00%,0.00%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$43.45 ,$3.95 ,,https://www.reinders.com/products/370-6180/,https://assetcloud01.roccommerce.net/files/_reinders/1/5/9/370-6180-label.pdf,"Urea, Sulfate of Potash",22,,,,
EC Grow - 18-4-18 33%Nutralene 33%Amaul SOP Micro - SGN90 - 50 LB BAG,18.00%,4.00%,18.00%,0.00%,0.00%,0.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$55.11 ,$6.12 ,90,https://www.reinders.com/products/545-9040/,https://assetcloud01.roccommerce.net/files/_reinders/10/1/3/545-9040-label.pdf,"Urea, Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Ammonium Sulfate, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide, and Zinc Sulfate",6.3,6.8,6.8,3.1,*4.9% Methylene Ureas
Reinders - 22-0-10 80% Duration SOP - 50 LB Bag,22.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$49.72 ,$4.52 ,,https://www.reinders.com/products/22-0-10-80-duration-sop-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/8/8/10/370-6220-label.pdf,"Polymer Coated Urea, Urea and Sulfate of Potash",22*,,,,*17.2% polymer coated urea
EC Grow - 10-18-20 55%MU SOP - SGN 90 - 50 LB BAG,10.00%,18.00%,20.00%,0.00%,0.00%,0.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$59.51 ,$11.90 ,90,https://www.reinders.com/products/ec-grow-10-18-20-55-mu-sop-sgn-90-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/9/8/10/545-2240-label.pdf,"Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide and Zinc Sulfate.",0.6,4.5,4.5,2.3*,*Methylene Ureas
EC Grow - 23-0-15 70% RxN 30% AmSul SOP Mini - 50 LB Bag,23.00%,0.00%,15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$39.27 ,$3.41 ,,https://www.reinders.com/products/ec-grow-23-0-15-70-rxn-30-amsul-sop-mini-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/8/1/7/370-6110-label.pdf,"Urea, Sulfate of Potash and Ammonium Sulfate",16.1,6.9,6.9,,
EC Grow - 16-0-8 100%AMS - SGN90 - 50 LB BAG,16.00%,0.00%,8.00%,0.00%,0.00%,21.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$46.75 ,$5.84 ,90,https://www.reinders.com/products/545-9070/,https://assetcloud01.roccommerce.net/files/_reinders/4/10/6/545-9070-label.pdf,"Ammonium Sulfate, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide, and Zinc Sulfate",,16,16,,
18-12-6 Starter Fertilizer - 25% PCSU - SGN 215 - 50 LB BAG,18.00%,12.00%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$31.70 ,$3.52 ,215,https://www.reinders.com/products/18-12-6-starter-fertilizer-25-pcsu-sgn-215-50-lb-bag/,http://www.springvalleyusa.com/sites/default/files/pdf/L2024910%20Standard%20SGN.pdf,"Diammonium Phosphate, Muriate of Potash, Urea,and Polymer-Coated-Sulfur-Coated Urea",13.3,4.7,4.7,,"*4.19% Polymer-Coated, Sulfur-Coated Urea\"
22-0-3 All Purpose Fertilizer - 50% Stabilized N with 2% Fe - 50 LB Bag,22.00%,0.00%,3.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,50,$25.63 ,$2.33 ,,https://www.reinders.com/products/rp22-0-3/,https://assetcloud01.roccommerce.net/files/_reinders/6/10/9/rp22-0-3-label.pdf,Urea and Muriate of Potash. Iron oxy-sulfate,22,,,,
21-0-21 75% Stabilized N 2% Fe,21.00%,0.00%,21.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,50,$31.35 ,$2.99 ,,https://www.reinders.com/products/rp21-0-21/,https://assetcloud01.roccommerce.net/files/_reinders/3/4/5/rp21-0-21-label-sv.pdf,"Urea, Muriate of Potash, and Iron oxide",21*,,,,*15.75% stabilized with Dicyandiamide and N-(n-Butyl)-thiophosphoric Triamide
33-0-5 All Purpose Fertilizer - 100% Stabilized N with 2% Fe,33.00%,0.00%,5.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,50,$34.97 ,$2.12 ,,https://www.reinders.com/products/rp33-0-5/,https://assetcloud01.roccommerce.net/files/_reinders/7/1/4/rp33-0-5-label.pdf,"Urea, Muriate of Potash, Iron oxy-sulfate",33,,,,
Nature Safe - 12-2-6 Ammonium SulfateFortified Fertilizer - Fine Grade - SGN 130-140 - 50 LB Bag,12.00%,2.00%,6.00%,2.00%,0.00%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$33.00 ,$5.50 ,135,https://www.reinders.com/products/nature-safe-12-2-6-ammonium-sulfatefortified-fertilizer-fine-grade-sgn-130-140-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/5/2/6/20364-label.pdf,"Hydrolyzed feather meal, ammonium sulfate, meat meal, bone meal, sulfate of potash and blood meal.*This product contains",,6,6,,*hydrolyzed feather meal and meat meal
Lebanon - 25-0-5 Proscape Fertilizer with Mesa - SGN 220 - 50 LB BAG,25.00%,0.00%,5.00%,0.00%,0.00%,5.00%,1.00%,0.00%,0.00%,0.00%,0.00%,50,$35.77 ,$2.86 ,220,https://www.reinders.com/products/lebanon-25-0-5-proscape-fertilizer-with-mesa-sgn-220-50-lb-bag/,https://www.lebanonturf.com/labels/2254318.pdf,"Ammonium Sulfate, Methylene Ureas, Urea, Muriate of Potash, Ferric Oxide, Ferrous Sulfate",13.3,4.5,4.5,4.6*,*7.2% Slowly available from Methylene Ureas
Spring Valley - 5-28-0 Crystal Green Fertilizer 10% Mg - SGN 90 - 50 LB BAG,5.00%,28.00%,0.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.82 ,$23.93 ,90,https://www.reinders.com/products/sv2002175/,https://assetcloud01.roccommerce.net/files/_reinders/10/1/4/sv2002175-label.pdf,"Magnesium Ammonium Phosphate Hexa-hydrate **5.00% Slowly Available Nitrogen, 28.00% Slowly Available Phosphate, 10.00% Slowly Available Magnesium derived from Magnesium Ammonium Phosphate Hexa-hydrate",,5,5,,
Lebanon - 25-0-10 Proscape Fertilizer with Mesa - SGN 195 - 50 LB Bag,25.00%,0.00%,10.00%,0.00%,0.00%,9.60%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$45.92 ,$3.67 ,195,https://www.reinders.com/products/lebanon-25-0-10-proscape-fertilizer-with-mesa-sgn-195-50-lb-bag/,https://www.lebanonturf.com/labels/2153903.pdf,"Ammonium Sulfate, Methylene Ureas, Urea, Sulfate of Potash",3,5.3,5.3,11*,*Slowly available from Methylene Ureas
Nature Safe - 8-3-5 Stress Guard Super Fine Grade Fertilizer - SGN 80-100 - 50 LB Bag,8.00%,3.00%,5.00%,5.00%,2.20%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$35.75 ,$8.94 ,80-100,https://www.reinders.com/products/nature-safe-8-3-5-stress-guard-super-fine-grade-fertilizer-sgn-80-100-50-lb-bag/,https://d1p6n69pfnpnhu.cloudfront.net/Nature_Safe/NatureSafe_Files/Labels/8-3-5%20Labels%204-9-2019.pdf,"Feather meal. meat and bone meal, blood meal, and langbeinite. ""This product contains",,0.2,0.2,0.6,*slowly available from feather meal and meat and bone meal
Nature Safe - 18-0-4 Fine Grade Fertilizer with Mesa® - SGN 130-140 - 50 LB Bag,18.00%,0.00%,4.00%,0.00%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$38.25 ,$4.25 ,135,https://www.reinders.com/products/nature-safe-18-0-4-fine-grade-fertilizer-with-mesa-sgn-130-140-50-lb-bag/,https://d1p6n69pfnpnhu.cloudfront.net/Nature_Safe/NatureSafe_Files/Labels/18-0-4%2021035%20Fine%2050%20Lb%20Bag%202-19-2019.pdf,"Feather meal. methylene urea, ammonium sulfate, meat meal, sulfate of potash, urea and blood meal",0.87,2.04,2.04,5.07,"*slowly available from feather meal, meat meal and methylene urea."
14-14-14 Regain Nutrilife Fertilizer for Flowering Plants,14.00%,14.00%,14.00%,0.00%,0.00%,5.55%,1.00%,0.10%,0.10%,0.00%,0.10%,50,$32.47 ,$4.64 ,215,https://www.reinders.com/products/rp14-14-14/,https://pndata.andersonsinc.com/Files/Labels/APT1485.40-J16%20-%2011x17.pdf,"ammonium phosphate, polymer coated sulfur coated urea, potassium sulfate, ferric oxide, ferrous sulfate, cupric oxide, cupric sulfate, manganous oxide, manganese sulfate, zinc oxide and zinc sulfate",8.52*,5.48,5.48,,*Slowly available from polymer coated sulfur coated urea
Lebanon - Woodace 18-5-10 Slow Release Fertilizer W/ Expo Slow Release,18.00%,5.00%,10.00%,0.00%,0.50%,3.20%,0.16%,0.00%,0.30%,0.00%,0.00%,50,$53.70 ,$5.97 ,145,https://www.reinders.com/products/lb2256322/,https://assetcloud01.roccommerce.net/files/_reinders/5/3/2/lb2256322-label.pdf,"mmonium Phosphate, Methylene Ureas, Urea, Muriate of Potash, Sulfate of Potash, Manganese Sucrate, Ferric Oxide, Ferrous Sulfate, Manganese Sucrate",2.2,2,2,8.8*,*Slowly Available from Methylene Ureas
Lebanon - Woodace Flowering Plant Special 14-14-14 - 40 LB BAG,14.00%,14.00%,14.00%,0.00%,1.00%,4.00%,1.00%,0.00%,0.50%,0.00%,0.00%,40,$46.88 ,$8.37 ,,https://www.reinders.com/products/lb2156355/,https://www.lebanonturf.com/labels/2156355.pdf,"Ammonium Phosphate, Methylene Ureas, Urea, Sulfate of Potash, Sulfate of Potash-Magnesia, Ferrous Sulfate , Manganese Sulfate",2.4,2.8,2.8,5.6*,*Slowly Available from Methylene Ureas
Mears - 13-13-13 25% XCU Bios & Micros Fertilizer - 50 LB Bag,13.00%,13.00%,13.00%,0.00%,1.00%,5.58%,1.00%,0.13%,0.13%,0.05%,0.13%,50,$37.34 ,$5.74 ,220,https://www.reinders.com/products/mears-13-13-13-25-xcu-bios-micros-fertilizer-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/7/6/7/rebb1313m50s2-label.pdf,"Urea, Polymer Coated SulfurCoated Urea, Ammonium Sulfate, Diammonium Phosphate, Sulfateof Potash Magnesia, Muriate of Potash, Sodium Borate, CopperOxide, Copper Sulfate, Iron Oxide, Ferrous Sulfate, ManganeseOxide, Manganese Sulfate, Molybdic Oxide, Zinc Oxide, ZincSulfate and Activated Sewage",4.869*,7.49,7.49,,*3.023% Polymer Coated SulfurCoated Urea
16-6-10 Award Tree & Shrub Starter Fertilizer - DOT Type A – 50 LB BAG,16.00%,6.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$25.63 ,$3.20 ,261,https://www.reinders.com/products/544-7030/,https://assetcloud01.roccommerce.net/files/_reinders/1/4/7/544-7030-label.pdf,"Urea, Muriate ofPotash and Diammonium Phosphate",13.6,2.4,2.4,,
Mears - 12-22-8 Starter Fertilizer with 25% XCU® Polymer-Coated Sulfur-Coated Urea - 50 LB Bag,12.00%,22.00%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$24.04 ,$4.01 ,220,https://www.reinders.com/products/mears-12-22-8-starter-fertilizer-with-25-xcu-polymer-coated-sulfur-coated-urea-50-lb-bag/,https://www.reinders.com/products/mears-12-22-8-starter-fertilizer-with-25-xcu-polymer-coated-sulfur-coated-urea-50-lb-bag/,"Polymer Coated Sulfur CoatedUrea, Diammonium Phosphate, Muriate of Potash and ActivatedSewage",3.081*,8.35,8.35,,*2.791% Polymer Coated Urea
